image_name,gps_timestamp,gps_week,yaw,pitch,roll
DSC00836.JPG,553975.784077,2234,-90.8,1.7,3.5
DSC00837.JPG,553977.652692,2234,-90.8,3.3,-3.4
DSC00838.JPG,553979.487837,2234,-92.2,3.6,-0.9
DSC00839.JPG,553981.28966,2234,-95.4,4.3,-2
DSC00840.JPG,553983.124587,2234,-97.3,3.2,-2.4
DSC00841.JPG,553984.993405,2234,-100,2.2,0.4
DSC00842.JPG,553986.928432,2234,-100.6,2.1,5.1
DSC00843.JPG,553988.897286,2234,-98.9,0.2,0.4
DSC00844.JPG,553990.898948,2234,-97.7,0.2,-0.1
DSC00845.JPG,553991.666914,2234,-93,0.1,0.4
DSC00846.JPG,553993.568177,2234,-100.5,1.4,-3.6
DSC00847.JPG,553995.504172,2234,-99.7,2.3,2.5
DSC00848.JPG,553997.472508,2234,-98.8,1.7,-0.1
DSC00849.JPG,553999.507628,2234,-95.8,1.7,-1.6
DSC00850.JPG,554001.509964,2234,-97.4,3.2,-0.3
DSC00851.JPG,554003.545251,2234,-97.9,2.9,-1.7
DSC00852.JPG,554005.580532,2234,-96.6,2.7,-0.3
DSC00853.JPG,554007.615908,2234,-96.4,2.6,0.1
DSC00854.JPG,554009.617969,2234,-99.5,2.9,-0.8
DSC00855.JPG,554010.385655,2234,-100.1,2.3,-0.5
DSC00856.JPG,554012.353791,2234,-100.1,2.6,0.8
DSC00857.JPG,554014.355972,2234,-97.7,2.9,1.4
DSC00858.JPG,554016.357978,2234,-97.3,2.4,-3
DSC00859.JPG,554018.327174,2234,-100.7,4.6,0.9
DSC00860.JPG,554020.262008,2234,-95.8,3.7,-0.8
DSC00861.JPG,554022.197488,2234,-97.1,4.2,-4.2
DSC00862.JPG,554024.098904,2234,-97.5,5.2,-1.3
DSC00863.JPG,554026.034292,2234,-99.5,5.2,-3.4
DSC00864.JPG,554028.036145,2234,-98.8,3.7,1.8
DSC00865.JPG,554029.771514,2234,-94.1,2.6,0.6
DSC00866.JPG,554031.84052,2234,-92.8,2.1,-1.6
DSC00867.JPG,554033.841945,2234,-95.2,1,-0.9
DSC00868.JPG,554035.810799,2234,-95.3,1.7,-0.9
DSC00869.JPG,554037.779188,2234,-99.1,1.2,-1
DSC00870.JPG,554039.714677,2234,-96.3,2.3,1.4
DSC00871.JPG,554041.650054,2234,-100.3,1.5,-0.2
DSC00872.JPG,554043.518232,2234,-97.4,1.1,-4.3
DSC00873.JPG,554045.353833,2234,-95,0.7,-2.1
DSC00874.JPG,554047.155236,2234,-93.5,0.9,-2.3
DSC00875.JPG,554047.956422,2234,-98.7,0.3,-1.6
DSC00876.JPG,554049.691263,2234,-99.8,0.8,0.6
DSC00877.JPG,554051.426175,2234,-94,-0.2,1.4
DSC00878.JPG,554053.127987,2234,-94.8,0.7,-3.5
DSC00879.JPG,554054.830948,2234,-96.1,1,-0.7
DSC00880.JPG,554056.531595,2234,-98.3,-0.4,-2.2
DSC00881.JPG,554058.266637,2234,-103.4,0.8,-0.1
DSC00882.JPG,554060.068934,2234,-106.6,2,-1.2
DSC00883.JPG,554061.870196,2234,-102.7,2.9,6.2
DSC00884.JPG,554063.705345,2234,-99.2,3.6,-0.1
DSC00885.JPG,554064.873647,2234,-98.7,3,-2.1
DSC00886.JPG,554066.841796,2234,-99.6,-0.1,-1.3
DSC00887.JPG,554068.810501,2234,-99.8,-0.7,-0.7
DSC00888.JPG,554070.712317,2234,-95.6,-1,2.4
DSC00889.JPG,554072.581132,2234,-93.9,-1.7,0.3
DSC00890.JPG,554074.4161,2234,-95.2,-1,-0.8
DSC00891.JPG,554076.218397,2234,-96,-0.3,-0.2
DSC00892.JPG,554077.952993,2234,-100.2,0,-2.4
DSC00893.JPG,554079.722067,2234,-96.9,1.7,3.9
DSC00894.JPG,554081.489583,2234,-94.5,0.7,0.2
DSC00895.JPG,554082.557975,2234,-94.7,1,0.1
DSC00896.JPG,554084.226494,2234,-86.8,1.3,-0.4
